model,hyperparameters,aggregate,average_rmse_arousal,average_rmse_valence,file_pair
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['min'],0.039671316751202355,0.2751815644120712,../data/raw/scenario_1/train/annotations\sub_11_vid_1.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_1.csv
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['enlarged'],0.054709997715232626,0.2107288198516186,../data/raw/scenario_1/train/annotations\sub_11_vid_1.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_1.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['mean'],0.11200981148976347,0.09751898946290549,../data/raw/scenario_1/train/annotations\sub_11_vid_10.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_10.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}","['std', 'max']",0.14373198588774364,0.0734762046814719,../data/raw/scenario_1/train/annotations\sub_11_vid_10.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_10.csv
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['min'],0.3039968707965191,0.15534579927331435,../data/raw/scenario_1/train/annotations\sub_11_vid_11.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_11.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['max'],0.33760727970169074,0.15530473973004058,../data/raw/scenario_1/train/annotations\sub_11_vid_11.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_11.csv
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['enlarged'],1.1138124906593918,0.291640157510437,../data/raw/scenario_1/train/annotations\sub_11_vid_13.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_13.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}","['mean', 'std']",1.3292930583821858,0.2738209558856573,../data/raw/scenario_1/train/annotations\sub_11_vid_13.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_13.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['min'],0.3845012672913073,0.7028594868806768,../data/raw/scenario_1/train/annotations\sub_11_vid_14.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_14.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['min'],0.4118970903376899,0.6224129433492621,../data/raw/scenario_1/train/annotations\sub_11_vid_14.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_14.csv
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",['mean'],1.028335775295624,0.7358782687982516,../data/raw/scenario_1/train/annotations\sub_11_vid_18.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_18.csv
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['min'],1.8098866568615692,0.5855755774460263,../data/raw/scenario_1/train/annotations\sub_11_vid_18.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_18.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['enlarged'],0.24357324820626736,0.2582331326587682,../data/raw/scenario_1/train/annotations\sub_11_vid_20.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_20.csv
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['min'],0.6199015818433388,0.03230360984481388,../data/raw/scenario_1/train/annotations\sub_11_vid_20.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_20.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['min'],0.5176460897791861,0.1314789103115593,../data/raw/scenario_1/train/annotations\sub_11_vid_9.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_9.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['min'],0.5188743353672696,0.12862375083139585,../data/raw/scenario_1/train/annotations\sub_11_vid_9.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_11_vid_9.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['min'],0.1500961488007827,0.5253074040146576,../data/raw/scenario_1/train/annotations\sub_12_vid_1.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_1.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",['min'],0.15868809583100302,0.45422999961929317,../data/raw/scenario_1/train/annotations\sub_12_vid_1.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_1.csv
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['min'],0.046524743111416446,0.19189304162346374,../data/raw/scenario_1/train/annotations\sub_12_vid_10.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_10.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['min'],0.04674157532249257,0.18519150892830982,../data/raw/scenario_1/train/annotations\sub_12_vid_10.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_10.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['max'],0.16358516982420557,0.28832884955447513,../data/raw/scenario_1/train/annotations\sub_12_vid_11.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_11.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['min'],0.16395748326781137,0.24339650867959375,../data/raw/scenario_1/train/annotations\sub_12_vid_11.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_11.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['max'],0.4936257247958604,0.9879217083730775,../data/raw/scenario_1/train/annotations\sub_12_vid_13.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_13.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}","['mean', 'min']",0.5405777514873987,0.5089577284005782,../data/raw/scenario_1/train/annotations\sub_12_vid_13.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_13.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto'}",['enlarged'],0.457217641522012,0.8764988158994024,../data/raw/scenario_1/train/annotations\sub_12_vid_14.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_14.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",['max'],0.5020141591474738,0.5605881801637452,../data/raw/scenario_1/train/annotations\sub_12_vid_14.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_14.csv
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['max'],1.2039194491185343,1.4884819398032976,../data/raw/scenario_1/train/annotations\sub_12_vid_18.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_18.csv
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",['min'],1.4248266606800872,1.3169419292430022,../data/raw/scenario_1/train/annotations\sub_12_vid_18.csv_../data/preprocessed/cleaned_and_prepro/scenario_1/train/physiology\sub_12_vid_18.csv
